---Views von SQL Datenbank (Strg+Shift+B-->Shift ß-->V)
TABLE_SCHEMA;TABLE_NAME;VIEW_DEFINITION
BMD;OBU_VA_OBJECTUSAGE;Create VIEW BMD.OBU_VA_OBJECTUSAGE AS SELECT S.NAME COLLATE DATABASE_DEFAULT AS SCHEMANAME, T.NAME COLLATE DATABASE_DEFAULT AS DBI_DBINFO_TABLENAME, P.ROWS AS DBI_ROWCOUNT, CAST(ROUND((SUM(A.USED_PAGES) / 128.00), 2) AS NUMERIC(36, 2)) AS DBI_USED_MB, CAST(ROUND((SUM(A.TOTAL_PAGES) - SUM(A.USED_PAGES)) / 128.00, 2) AS NUMERIC(36, 2)) AS DBI_UNUSED_MB, CAST(ROUND((SUM(A.TOTAL_PAGES) / 128.00), 2) AS NUMERIC(36, 2)) AS DBI_TOTAL_MB FROM SYS.TABLES T INNER JOIN SYS.INDEXES I ON T.OBJECT_ID = I.OBJECT_ID INNER JOIN SYS.PARTITIONS P ON I.OBJECT_ID = P.OBJECT_ID AND I.INDEX_ID = P.INDEX_ID INNER JOIN SYS.ALLOCATION_UNITS A ON P.PARTITION_ID = A.CONTAINER_ID INNER JOIN SYS.SCHEMAS S ON T.SCHEMA_ID = S.SCHEMA_ID GROUP BY T.NAME, S.NAME, P.ROWS
BMD;PFC_VA_PERFORMANCECOUNTERS;CREATE VIEW BMD.PFC_VA_PERFORMANCECOUNTERS AS SELECT object_name PFC_OBJECT_NAME, counter_name PFC_COUNTER_NAME, instance_name PFC_INSTANCE_NAME, cntr_value PFC_CNTR_VALUE, cntr_type PFC_CNTR_TYPE FROM sys.dm_os_performance_counters
BMD;U00_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U00_V_UES_UEBERSETZUNG ( U00_UES_SPRACHNR,   U00_UES_FELD, U00_UES_KEY1, U00_UES_KEY2, U00_UES_KEY3, U00_UES_FARBCODETABNR, U00_UES_FARBCODENR, U00_UES_UEBERSETZUNGSTEXT,   U00_UES_AENDERUNGSDATUM, U00_UES_ERSTELLDATUM, U00_UES_LETZTERUSER, U00_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U01_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U01_V_UES_UEBERSETZUNG ( U01_UES_SPRACHNR,   U01_UES_FELD, U01_UES_KEY1, U01_UES_KEY2, U01_UES_KEY3, U01_UES_FARBCODETABNR, U01_UES_FARBCODENR, U01_UES_UEBERSETZUNGSTEXT,   U01_UES_AENDERUNGSDATUM, U01_UES_ERSTELLDATUM, U01_UES_LETZTERUSER, U01_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U02_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U02_V_UES_UEBERSETZUNG ( U02_UES_SPRACHNR,   U02_UES_FELD, U02_UES_KEY1, U02_UES_KEY2, U02_UES_KEY3, U02_UES_FARBCODETABNR, U02_UES_FARBCODENR, U02_UES_UEBERSETZUNGSTEXT,   U02_UES_AENDERUNGSDATUM, U02_UES_ERSTELLDATUM, U02_UES_LETZTERUSER, U02_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U03_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U03_V_UES_UEBERSETZUNG ( U03_UES_SPRACHNR,   U03_UES_FELD, U03_UES_KEY1, U03_UES_KEY2, U03_UES_KEY3, U03_UES_FARBCODETABNR, U03_UES_FARBCODENR, U03_UES_UEBERSETZUNGSTEXT,   U03_UES_AENDERUNGSDATUM, U03_UES_ERSTELLDATUM, U03_UES_LETZTERUSER, U03_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U04_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U04_V_UES_UEBERSETZUNG ( U04_UES_SPRACHNR,   U04_UES_FELD, U04_UES_KEY1, U04_UES_KEY2, U04_UES_KEY3, U04_UES_FARBCODETABNR, U04_UES_FARBCODENR, U04_UES_UEBERSETZUNGSTEXT,   U04_UES_AENDERUNGSDATUM, U04_UES_ERSTELLDATUM, U04_UES_LETZTERUSER, U04_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U05_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U05_V_UES_UEBERSETZUNG ( U05_UES_SPRACHNR,   U05_UES_FELD, U05_UES_KEY1, U05_UES_KEY2, U05_UES_KEY3, U05_UES_FARBCODETABNR, U05_UES_FARBCODENR, U05_UES_UEBERSETZUNGSTEXT,   U05_UES_AENDERUNGSDATUM, U05_UES_ERSTELLDATUM, U05_UES_LETZTERUSER, U05_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U06_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U06_V_UES_UEBERSETZUNG ( U06_UES_SPRACHNR,   U06_UES_FELD, U06_UES_KEY1, U06_UES_KEY2, U06_UES_KEY3, U06_UES_FARBCODETABNR, U06_UES_FARBCODENR, U06_UES_UEBERSETZUNGSTEXT,   U06_UES_AENDERUNGSDATUM, U06_UES_ERSTELLDATUM, U06_UES_LETZTERUSER, U06_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U07_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U07_V_UES_UEBERSETZUNG ( U07_UES_SPRACHNR,   U07_UES_FELD, U07_UES_KEY1, U07_UES_KEY2, U07_UES_KEY3, U07_UES_FARBCODETABNR, U07_UES_FARBCODENR, U07_UES_UEBERSETZUNGSTEXT,   U07_UES_AENDERUNGSDATUM, U07_UES_ERSTELLDATUM, U07_UES_LETZTERUSER, U07_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U08_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U08_V_UES_UEBERSETZUNG ( U08_UES_SPRACHNR,   U08_UES_FELD, U08_UES_KEY1, U08_UES_KEY2, U08_UES_KEY3, U08_UES_FARBCODETABNR, U08_UES_FARBCODENR, U08_UES_UEBERSETZUNGSTEXT,   U08_UES_AENDERUNGSDATUM, U08_UES_ERSTELLDATUM, U08_UES_LETZTERUSER, U08_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U09_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U09_V_UES_UEBERSETZUNG ( U09_UES_SPRACHNR,   U09_UES_FELD, U09_UES_KEY1, U09_UES_KEY2, U09_UES_KEY3, U09_UES_FARBCODETABNR, U09_UES_FARBCODENR, U09_UES_UEBERSETZUNGSTEXT,   U09_UES_AENDERUNGSDATUM, U09_UES_ERSTELLDATUM, U09_UES_LETZTERUSER, U09_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U10_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U10_V_UES_UEBERSETZUNG ( U10_UES_SPRACHNR,   U10_UES_FELD, U10_UES_KEY1, U10_UES_KEY2, U10_UES_KEY3, U10_UES_FARBCODETABNR, U10_UES_FARBCODENR, U10_UES_UEBERSETZUNGSTEXT,   U10_UES_AENDERUNGSDATUM, U10_UES_ERSTELLDATUM, U10_UES_LETZTERUSER, U10_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U11_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U11_V_UES_UEBERSETZUNG ( U11_UES_SPRACHNR,   U11_UES_FELD, U11_UES_KEY1, U11_UES_KEY2, U11_UES_KEY3, U11_UES_FARBCODETABNR, U11_UES_FARBCODENR, U11_UES_UEBERSETZUNGSTEXT,   U11_UES_AENDERUNGSDATUM, U11_UES_ERSTELLDATUM, U11_UES_LETZTERUSER, U11_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U12_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U12_V_UES_UEBERSETZUNG ( U12_UES_SPRACHNR,   U12_UES_FELD, U12_UES_KEY1, U12_UES_KEY2, U12_UES_KEY3, U12_UES_FARBCODETABNR, U12_UES_FARBCODENR, U12_UES_UEBERSETZUNGSTEXT,   U12_UES_AENDERUNGSDATUM, U12_UES_ERSTELLDATUM, U12_UES_LETZTERUSER, U12_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U13_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U13_V_UES_UEBERSETZUNG ( U13_UES_SPRACHNR,   U13_UES_FELD, U13_UES_KEY1, U13_UES_KEY2, U13_UES_KEY3, U13_UES_FARBCODETABNR, U13_UES_FARBCODENR, U13_UES_UEBERSETZUNGSTEXT,   U13_UES_AENDERUNGSDATUM, U13_UES_ERSTELLDATUM, U13_UES_LETZTERUSER, U13_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U14_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U14_V_UES_UEBERSETZUNG ( U14_UES_SPRACHNR,   U14_UES_FELD, U14_UES_KEY1, U14_UES_KEY2, U14_UES_KEY3, U14_UES_FARBCODETABNR, U14_UES_FARBCODENR, U14_UES_UEBERSETZUNGSTEXT,   U14_UES_AENDERUNGSDATUM, U14_UES_ERSTELLDATUM, U14_UES_LETZTERUSER, U14_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U15_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U15_V_UES_UEBERSETZUNG ( U15_UES_SPRACHNR,   U15_UES_FELD, U15_UES_KEY1, U15_UES_KEY2, U15_UES_KEY3, U15_UES_FARBCODETABNR, U15_UES_FARBCODENR, U15_UES_UEBERSETZUNGSTEXT,   U15_UES_AENDERUNGSDATUM, U15_UES_ERSTELLDATUM, U15_UES_LETZTERUSER, U15_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
BMD;U16_V_UES_UEBERSETZUNG;CREATE VIEW BMD.U16_V_UES_UEBERSETZUNG ( U16_UES_SPRACHNR,   U16_UES_FELD, U16_UES_KEY1, U16_UES_KEY2, U16_UES_KEY3, U16_UES_FARBCODETABNR, U16_UES_FARBCODENR, U16_UES_UEBERSETZUNGSTEXT,   U16_UES_AENDERUNGSDATUM, U16_UES_ERSTELLDATUM, U16_UES_LETZTERUSER, U16_UES_ERSTELLUSER )  AS SELECT UES_SPRACHNR,   UES_FELD, UES_KEY1, UES_KEY2, UES_KEY3, UES_FARBCODETABNR, UES_FARBCODENR, UES_UEBERSETZUNGSTEXT,   UES_AENDERUNGSDATUM, UES_ERSTELLDATUM, UES_LETZTERUSER, UES_ERSTELLUSER FROM BMD.UES_UEBERSETZUNG
