AAD_AUSDRUCKDETAIL;BIL.AAD_AUSDRUCKDETAIL
PSK_PERSRST_STERBET_KOPF;BIL.PSK_PERSRST_STERBET_KOPF
PWT_PERSRST_ALTERSV_WERT;BIL.PWT_PERSRST_ALTERSV_WERT
RDD_RSTDRUCKDETAIL;BIL.RDD_RSTDRUCKDETAIL
RDM_RSTDRUCKMASTER;BIL.RDM_RSTDRUCKMASTER
RET_BEWRES_ERFASS_TMP;BIL.RET_BEWRES_ERFASS_TMP
RSP_RSTSPALTENKOPF;BIL.RSP_RSTSPALTENKOPF
SEB_STEUERERKLBAUM;BIL.SEB_STEUERERKLBAUM
SES_STEUERERKLSETTINGS;BIL.SES_STEUERERKLSETTINGS
SKE_STEUERKUNDENZUERW;BIL.SKE_STEUERKUNDENZUERW
SLB_SALDENBESTAETIGUNG;BIL.SLB_SALDENBESTAETIGUNG
SLZ_STEUERLOHNZETTEL;BIL.SLZ_STEUERLOHNZETTEL
SPW_SPIEGELWERTE;BIL.SPW_SPIEGELWERTE
SRB_STEUERBUCHUNGEN;BIL.SRB_STEUERBUCHUNGEN
SSU_STEUERSACHKONTOZU;BIL.SSU_STEUERSACHKONTOZU
STS_STEUERSTAMMDAT;BIL.STS_STEUERSTAMMDAT
STW_STEUERWERT;BIL.STW_STEUERWERT
TMP_JAB_JABINFO;BIL.TMP_JAB_JABINFO
TTB_TANTIEMENBERECHNUNG;BIL.TTB_TANTIEMENBERECHNUNG
UDB_ANGUNTERBILANZ;BIL.UDB_ANGUNTERBILANZ
UEV_STEUERUEBERGVERLUSTE;BIL.UEV_STEUERUEBERGVERLUSTE
VRG_VERLUSTANRECHNUNG;BIL.VRG_VERLUSTANRECHNUNG
VVV_STEUERVERLUSTVV;BIL.VVV_STEUERVERLUSTVV
WAA_WIPAKTENART;BIL.WAA_WIPAKTENART
WIB_WIBERICHTSART;BIL.WIB_WIBERICHTSART
WIC_WIPCHECKLIST;BIL.WIC_WIPCHECKLIST
WID_WIPDOKUMENTE;BIL.WID_WIPDOKUMENTE
WIK_WIVARIABLENKATEGORIE;BIL.WIK_WIVARIABLENKATEGORIE
WIP_WIPRUEFUNG;BIL.WIP_WIPRUEFUNG
WIV_WIVARIABLEN;BIL.WIV_WIVARIABLEN
WPD_WPDIFFERENZEN;BIL.WPD_WPDIFFERENZEN
XBR_XBRLDATA;BIL.XBR_XBRLDATA
ABF_ABFRAGE;BMD.ABF_ABFRAGE
AFI_ABFRAGEFILTER;BMD.AFI_ABFRAGEFILTER
AFZ_ABFRAGEFELDERZU;BMD.AFZ_ABFRAGEFELDERZU
AKO_AGGREGATKOPF;BMD.AKO_AGGREGATKOPF
APA_ASPACCESS;BMD.APA_ASPACCESS
APK_AKTIONSPROTOKOLL;BMD.APK_AKTIONSPROTOKOLL
APO_AGGREGATPOSITION;BMD.APO_AGGREGATPOSITION
ASF_AUTOSTARTFUNKTION;BMD.ASF_AUTOSTARTFUNKTION
ASJ_ASYNCHRONEJOBS;BMD.ASJ_ASYNCHRONEJOBS
ATL_ATTRLOCK;BMD.ATL_ATTRLOCK
ATZ_ABFRAGETABELLENZU;BMD.ATZ_ABFRAGETABELLENZU
AUC_AUSWERTUNGSCENTER;BMD.AUC_AUSWERTUNGSCENTER
BAT_BMDATTACHMENT;BMD.BAT_BMDATTACHMENT
BEG_BERECHTIGUNG;BMD.BEG_BERECHTIGUNG
BEM_BMDEMAIL;BMD.BEM_BMDEMAIL
BGR_BMDGRUPPENRECHTE;BMD.BGR_BMDGRUPPENRECHTE
BLB_BLOB;BMD.BLB_BLOB
BLC_BMDLOCK;BMD.BLC_BMDLOCK
BLS_BLOB_STAMM;BMD.BLS_BLOB_STAMM
BMA_BMDMAILACCOUNT;BMD.BMA_BMDMAILACCOUNT
BMF_BMDFORMATKATALOG;BMD.BMF_BMDFORMATKATALOG
BMG_BMDGRUPPE;BMD.BMG_BMDGRUPPE
BMH_BMDUSER_VALUEHISTORY;BMD.BMH_BMDUSER_VALUEHISTORY
BMK_BMDEMAILKATEGORIE;BMD.BMK_BMDEMAILKATEGORIE
BMP_BMDMAILPROTOCOL;BMD.BMP_BMDMAILPROTOCOL
BMR_BMDROLLE;BMD.BMR_BMDROLLE
BMU_BMDUSER;BMD.BMU_BMDUSER
BSA_BMDSESSIONARCHIV;BMD.BSA_BMDSESSIONARCHIV
BSE_BMDSESSION;BMD.BSE_BMDSESSION
BTF_BMDTABFELDBESCH;BMD.BTF_BMDTABFELDBESCH
BUZ_BMDUSERGRUPPENZU;BMD.BUZ_BMDUSERGRUPPENZU
BZP_BLOBZUGRIFFSPROTOKOLL;BMD.BZP_BLOBZUGRIFFSPROTOKOLL
CAI_CACHEINVALIDIERUNG;BMD.CAI_CACHEINVALIDIERUNG
CDC_COMPASSDATACACHE;BMD.CDC_COMPASSDATACACHE
CLD_CLOADACCOUNT;BMD.CLD_CLOADACCOUNT
CMZ_CMDZEILEN;BMD.CMZ_CMDZEILEN
CSZ_CAI_SESSIONZU;BMD.CSZ_CAI_SESSIONZU
DBC_DBCHANGE;BMD.DBC_DBCHANGE
DBI_DBCLONEITEM;BMD.DBI_DBCLONEITEM
DBK_DRUCKBAUSTEINKOPF;BMD.DBK_DRUCKBAUSTEINKOPF
DBN_DBCLONE;BMD.DBN_DBCLONE
DIA_DIAGRAMM;BMD.DIA_DIAGRAMM
DIG_DIAGRAMMGRUPPE;BMD.DIG_DIAGRAMMGRUPPE
DIH_DIAGRAMMINSTANZKOPF;BMD.DIH_DIAGRAMMINSTANZKOPF
DII_DIAGRAMMINSTANZ;BMD.DII_DIAGRAMMINSTANZ
DIX_DIAGRAMMAKTION;BMD.DIX_DIAGRAMMAKTION
DOG_DATAOWNERGRUPPE;BMD.DOG_DATAOWNERGRUPPE
DOU_DATAOWNERUSERZU_TMP;BMD.DOU_DATAOWNERUSERZU_TMP
DOV_DOGVORSCHLAG;BMD.DOV_DOGVORSCHLAG
DOZ_DATAOWNERZU;BMD.DOZ_DATAOWNERZU
DPD_DOCUMENTPOOLDETAIL;BMD.DPD_DOCUMENTPOOLDETAIL
DPO_DOCUMENTPOOL;BMD.DPO_DOCUMENTPOOL
DQU_DATENQUELLE;BMD.DQU_DATENQUELLE
DRB_DRUCKBAUSTEINE;BMD.DRB_DRUCKBAUSTEINE
DRS_DRUCKEREINSTELLUNG;BMD.DRS_DRUCKEREINSTELLUNG
DRU_DRUCKER;BMD.DRU_DRUCKER
DRZ_DRUCKERBENUTZERWERT;BMD.DRZ_DRUCKERBENUTZERWERT
DVP_DEVICEPROTOCOL;BMD.DVP_DEVICEPROTOCOL
EAO_EXTARCHIVOP;BMD.EAO_EXTARCHIVOP
EDN_EDINACHRICHT;BMD.EDN_EDINACHRICHT
ENT_EDINACHRICHTTYP;BMD.ENT_EDINACHRICHTTYP
EST_EDISCHEMATYP;BMD.EST_EDISCHEMATYP
ETF_ETIKETTENFORMAT;BMD.ETF_ETIKETTENFORMAT
FAR_FARBCODE;BMD.FAR_FARBCODE
FBF_FELDBESCHFORMAT;BMD.FBF_FELDBESCHFORMAT
FBK_FELDBESCHKOPF;BMD.FBK_FELDBESCHKOPF
FBP_FELDBESCHPOS;BMD.FBP_FELDBESCHPOS
FDK_FELDWERTEKOPF;BMD.FDK_FELDWERTEKOPF
FDP_FELDWERTEPOS;BMD.FDP_FELDWERTEPOS
FEZ_FELDGRUPPENZU;BMD.FEZ_FELDGRUPPENZU
FFB_FUNKFELDBESCHRECHTE;BMD.FFB_FUNKFELDBESCHRECHTE
FFO_FUNKFIRMENRECHTE_OPT;BMD.FFO_FUNKFIRMENRECHTE_OPT
FFR_FUNKFIRMENRECHTE;BMD.FFR_FUNKFIRMENRECHTE
FIP_FILTERPANEL;BMD.FIP_FILTERPANEL
FNL_DFUNKTION_NLS_TMP;BMD.FNL_DFUNKTION_NLS_TMP
FOR_FORMEL;BMD.FOR_FORMEL
FOX_FORMELTEXT;BMD.FOX_FORMELTEXT
FUR_FUNKRECHTE;BMD.FUR_FUNKRECHTE
FVW_FELDVORGABEWERTE;BMD.FVW_FELDVORGABEWERTE
GAS_GLOBAL_ACTIONSTACK;BMD.GAS_GLOBAL_ACTIONSTACK
GWP_GROUPWISEPOSTOFFICE;BMD.GWP_GROUPWISEPOSTOFFICE
HFV_HILFEFAVORITEN;BMD.HFV_HILFEFAVORITEN
IEP_IMPEXP_PROTOKOLL;BMD.IEP_IMPEXP_PROTOKOLL
IGZ_INTERVALLGRUPPEZU;BMD.IGZ_INTERVALLGRUPPEZU
INP_INTPARAM;BMD.INP_INTPARAM
ITV_INTERVALL;BMD.ITV_INTERVALL
IVG_INTERVALLGRUPPE;BMD.IVG_INTERVALLGRUPPE
KUD_KURSDATEI;BMD.KUD_KURSDATEI
KUS_KURS;BMD.KUS_KURS
LAY_LAYOUT;BMD.LAY_LAYOUT
LDD_LIZDATEIDOWNLOAD;BMD.LDD_LIZDATEIDOWNLOAD
LIZ_LIZENZ;BMD.LIZ_LIZENZ
LZT_LIZENZTEST;BMD.LZT_LIZENZTEST
LZZ_AUTOLIZENZZU;BMD.LZZ_AUTOLIZENZZU
MAK_MAKROFUNKTIONSZU;BMD.MAK_MAKROFUNKTIONSZU
MBO_MAILBOX;BMD.MBO_MAILBOX
NSC_NETSCANNER;BMD.NSC_NETSCANNER
NUB_NTCSUPDBEZIEHER;BMD.NUB_NTCSUPDBEZIEHER
NUD_NTCSUPDATEONLINEDATEI;BMD.NUD_NTCSUPDATEONLINEDATEI
NUI_NTCSUPDINSTALLATION;BMD.NUI_NTCSUPDINSTALLATION
NUK_NTCSUPDPRODUKT;BMD.NUK_NTCSUPDPRODUKT
NUO_NTCSUPDPRIORITAET;BMD.NUO_NTCSUPDPRIORITAET
NUP_NTCSUPDATE;BMD.NUP_NTCSUPDATE
NUR_NUMMERNRUECKGABE;BMD.NUR_NUMMERNRUECKGABE
NUT_NTCSUPDTRANSFER;BMD.NUT_NTCSUPDTRANSFER
NUY_NTCSUPDTYP;BMD.NUY_NTCSUPDTYP
OCT_OCR_SUCHTEXT;BMD.OCT_OCR_SUCHTEXT
ODA_ONLINEDATEI;BMD.ODA_ONLINEDATEI
ODT_ONLINEDATEITRANSFER;BMD.ODT_ONLINEDATEITRANSFER
OTD_OCRTEMPLATEDETAIL;BMD.OTD_OCRTEMPLATEDETAIL
OTH_OCRTEMPLATEHEADER;BMD.OTH_OCRTEMPLATEHEADER
OUB_OUTLOOKBAR;BMD.OUB_OUTLOOKBAR
OUE_OUTLOOKBARELEM;BMD.OUE_OUTLOOKBARELEM
OUN_OUTLOOKBARTABNODES;BMD.OUN_OUTLOOKBARTABNODES
OUW_OUTLOOKBARWINDOW;BMD.OUW_OUTLOOKBARWINDOW
PAW_PARAMWERT;BMD.PAW_PARAMWERT
PFE_PANELFILTERELEM;BMD.PFE_PANELFILTERELEM
PFI_PANELFILTER;BMD.PFI_PANELFILTER
PIT_POSTIT;BMD.PIT_POSTIT
PKO_PROTOKOLL;BMD.PKO_PROTOKOLL
PTT_PERFORMANCETESTTAB_TMP;BMD.PTT_PERFORMANCETESTTAB_TMP
PTX_PERFORMANCETESTTAB;BMD.PTX_PERFORMANCETESTTAB
PVY_PACKAGEVISIBILITY;BMD.PVY_PACKAGEVISIBILITY
QLF_LINKFIELD;BMD.QLF_LINKFIELD
QLK_LINK;BMD.QLK_LINK
REC_RECORDINTERVALL;BMD.REC_RECORDINTERVALL
RGS_TABREPLGSTANDORTZU;BMD.RGS_TABREPLGSTANDORTZU
RGT_TABREPLGTABELLEZU;BMD.RGT_TABREPLGTABELLEZU
RGZ_ROLLEGRUPPEZU;BMD.RGZ_ROLLEGRUPPEZU
RKA_REPLIKATIONSAENDERUNG;BMD.RKA_REPLIKATIONSAENDERUNG
RKE_TABREPLEINTRAG;BMD.RKE_TABREPLEINTRAG
RKG_TABREPLGRUPPE;BMD.RKG_TABREPLGRUPPE
RKS_REPLIKATIONSSTANDORT;BMD.RKS_REPLIKATIONSSTANDORT
RKT_REPLIKATIONSTRANSFER;BMD.RKT_REPLIKATIONSTRANSFER
RPF_REPORTFORMATVORLAGE;BMD.RPF_REPORTFORMATVORLAGE
RPT_REPORT;BMD.RPT_REPORT
RPV_REPORTVORSCHLAG;BMD.RPV_REPORTVORSCHLAG
RTI_RTFINDEX;BMD.RTI_RTFINDEX
RUZ_ROLLEUSERZU;BMD.RUZ_ROLLEUSERZU
SAVE_ATTRBERECHT;BMD.SAVE_ATTRBERECHT
SAVE_BERECHTIGUNG;BMD.SAVE_BERECHTIGUNG
SAVE_BMDGRUPPE;BMD.SAVE_BMDGRUPPE
SAVE_BMDTABFELDBESCH;BMD.SAVE_BMDTABFELDBESCH
SAVE_BMDUSERGRUPPENZU;BMD.SAVE_BMDUSERGRUPPENZU
SAVE_FUNKBERECHT;BMD.SAVE_FUNKBERECHT
SAVE1_ATTRBERECHT;BMD.SAVE1_ATTRBERECHT
SAVE1_BERECHTIGUNG;BMD.SAVE1_BERECHTIGUNG
SAVE1_BMDGRUPPE;BMD.SAVE1_BMDGRUPPE
SAVE1_BMDUSERGRUPPENZU;BMD.SAVE1_BMDUSERGRUPPENZU
SAVE1_FUNKBERECHT;BMD.SAVE1_FUNKBERECHT
SBF_STDBRIEF;BMD.SBF_STDBRIEF
SBG_STDBRIEFGRUPPE;BMD.SBG_STDBRIEFGRUPPE
SCH_SCHEDULE;BMD.SCH_SCHEDULE
SEQ_SEQUENZ;BMD.SEQ_SEQUENZ
SER_SQLEXECREQUEST;BMD.SER_SQLEXECREQUEST
SPC_SPELLCHECKERDICT;BMD.SPC_SPELLCHECKERDICT
SPK_STAPELKOPF;BMD.SPK_STAPELKOPF
SPL_STEMPEL;BMD.SPL_STEMPEL
SPP_STAPELPARAMETER;BMD.SPP_STAPELPARAMETER
SPT_STAPELSCHRITT;BMD.SPT_STAPELSCHRITT
SPX_STAPELVARIABLE;BMD.SPX_STAPELVARIABLE
SPZ_SESSIONPAKETZU;BMD.SPZ_SESSIONPAKETZU
SRE_STANDARDREPORT;BMD.SRE_STANDARDREPORT
SYD_SYSTEMDRUCKER;BMD.SYD_SYSTEMDRUCKER
SYK_BMDSYSTEMKOMPONENTE;BMD.SYK_BMDSYSTEMKOMPONENTE
SYN_SYNCDATEN;BMD.SYN_SYNCDATEN
SYS_BMDSYSTEM;BMD.SYS_BMDSYSTEM
TAS_ACTIONSTACK_TMP;BMD.TAS_ACTIONSTACK_TMP
TAS_ACTIONSTACK1_TMP;BMD.TAS_ACTIONSTACK1_TMP
TBE_TEMPBERECHTIGUNG;BMD.TBE_TEMPBERECHTIGUNG
TCA_TCACTIONLIST;BMD.TCA_TCACTIONLIST
TCD_TCKONFDATEN;BMD.TCD_TCKONFDATEN
TCK_TCKONFIGURATIONEN;BMD.TCK_TCKONFIGURATIONEN
TCN_TCVERSIONEN;BMD.TCN_TCVERSIONEN
TCT_TCTESTCASE;BMD.TCT_TCTESTCASE
TCV_TCVERSIONCASE;BMD.TCV_TCVERSIONCASE
TCZ_TCVERSIONCASEALZU;BMD.TCZ_TCVERSIONCASEALZU
TFK_FELDBESCHKOPF_TMP;BMD.TFK_FELDBESCHKOPF_TMP
TMP_ABFRAGEFELDERZU;BMD.TMP_ABFRAGEFELDERZU
TMP_ABFRAGEFILTER;BMD.TMP_ABFRAGEFILTER
TMP_ABFRAGETABELLENZU;BMD.TMP_ABFRAGETABELLENZU
TMP_BEM_BMDEMAIL;BMD.TMP_BEM_BMDEMAIL
TMP_BERECHTIGUNG;BMD.TMP_BERECHTIGUNG
TMP_BMDTABFELDBESCH;BMD.TMP_BMDTABFELDBESCH
TMP_BMDUSER;BMD.TMP_BMDUSER
TMP_CLAKTION;BMD.TMP_CLAKTION
TMP_CLAKTIONSWERTE;BMD.TMP_CLAKTIONSWERTE
TMP_CLGRUPPE;BMD.TMP_CLGRUPPE
TMP_DBK_DRUCKBAUSTEINKOPF;BMD.TMP_DBK_DRUCKBAUSTEINKOPF
TMP_DRB_DRUCKBAUSTEINE;BMD.TMP_DRB_DRUCKBAUSTEINE
TMP_DRUCKEREINSTELLUNG;BMD.TMP_DRUCKEREINSTELLUNG
TMP_FBK_FELDBESCHKOPF;BMD.TMP_FBK_FELDBESCHKOPF
TMP_FELDBESCHFORMAT;BMD.TMP_FELDBESCHFORMAT
TMP_FELDBESCHKOPF;BMD.TMP_FELDBESCHKOPF
TMP_FELDBESCHKOPF_ZEIML;BMD.TMP_FELDBESCHKOPF_ZEIML
TMP_FELDBESCHPOS;BMD.TMP_FELDBESCHPOS
TMP_KURS;BMD.TMP_KURS
TMP_KURSTABELLE;BMD.TMP_KURSTABELLE
TMP_LIZENZ;BMD.TMP_LIZENZ
TMP_OUB_OUTLOOKBAR;BMD.TMP_OUB_OUTLOOKBAR
TMP_OUE_OUTLOOKBARELEM;BMD.TMP_OUE_OUTLOOKBARELEM
TMP_OUTLOOKBAR;BMD.TMP_OUTLOOKBAR
TMP_OUTLOOKBARELEM;BMD.TMP_OUTLOOKBARELEM
TMP_PARAMWERT;BMD.TMP_PARAMWERT
TMP_PAW_PARAMWERT;BMD.TMP_PAW_PARAMWERT
TMP_PERSBERECHT;BMD.TMP_PERSBERECHT
TMP_PROTOKOLL;BMD.TMP_PROTOKOLL
TMP_RECORDINTERVALL;BMD.TMP_RECORDINTERVALL
TMP_REMINDER;BMD.TMP_REMINDER
TMP_REPORTVORSCHLAG;BMD.TMP_REPORTVORSCHLAG
TMP_WAE_WAEHRUNG;BMD.TMP_WAE_WAEHRUNG
TMP_WAEHRUNG;BMD.TMP_WAEHRUNG
TMP_ZEILENBERECHTIGUNG;BMD.TMP_ZEILENBERECHTIGUNG
UES_UEBERSETZUNG;BMD.UES_UEBERSETZUNG
ULF_USERLINKFIELD;BMD.ULF_USERLINKFIELD
ULK_USERLINK;BMD.ULK_USERLINK
UMA_USERMATCHCODE;BMD.UMA_USERMATCHCODE
UTH_USERTREEHEAD;BMD.UTH_USERTREEHEAD
UTP_USERTREEPOS;BMD.UTP_USERTREEPOS
UTU_UTABUEBERS;BMD.UTU_UTABUEBERS
VPF_VPFAD;BMD.VPF_VPFAD
VPU_VPFADUSER;BMD.VPU_VPFADUSER
WAE_WAEHRUNG;BMD.WAE_WAEHRUNG
WCA_WAAUSDRUCKE;BMD.WCA_WAAUSDRUCKE
WCD_WAPARAMDEF;BMD.WCD_WAPARAMDEF
WCE_WABAUMELEMENTE;BMD.WCE_WABAUMELEMENTE
WCF_WABAUMELEMAUSDRUCKZU;BMD.WCF_WABAUMELEMAUSDRUCKZU
WCP_WAAUSDRUCKPARAMETER;BMD.WCP_WAAUSDRUCKPARAMETER
WCU_WAAUSDRUCKUSERZU;BMD.WCU_WAAUSDRUCKUSERZU
WCV_WAPARAMDEFVALUES;BMD.WCV_WAPARAMDEFVALUES
WCW_WAAUSDRUCKPARAMWERT;BMD.WCW_WAAUSDRUCKPARAMWERT
WCZ_WAAUSDRUCK_PARAM_ZU;BMD.WCZ_WAAUSDRUCK_PARAM_ZU
WQC_WQI_CUSTOMER;BMD.WQC_WQI_CUSTOMER
WQU_WQI_BMU_ZU;BMD.WQU_WQI_BMU_ZU
ZDK_ZEILENDEFKOPF;BMD.ZDK_ZEILENDEFKOPF
ZED_ZELLENDEF;BMD.ZED_ZELLENDEF
ZID_ZEILENDEF;BMD.ZID_ZEILENDEF
ZTU_ZEITUMSTELLUNG;BMD.ZTU_ZEITUMSTELLUNG
ZTZ_ZEITZONEN;BMD.ZTZ_ZEITZONEN
ALI_ATTRGRUPPELIZENZZU;BMDDEFAULT.ALI_ATTRGRUPPELIZENZZU
CAD_CACHEDEFINITION;BMDDEFAULT.CAD_CACHEDEFINITION
CHECK_CONSTRAINTS;BMDDEFAULT.CHECK_CONSTRAINTS
CMD_CMDLINEPARAM;BMDDEFAULT.CMD_CMDLINEPARAM
CPZ_CMDLINEPARAMZU;BMDDEFAULT.CPZ_CMDLINEPARAMZU
CSS_CASCSTYLESHEET;BMDDEFAULT.CSS_CASCSTYLESHEET
CTZ_CACHETABLEZU;BMDDEFAULT.CTZ_CACHETABLEZU
